dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc,qwk
"Ridge (alpha=1.0, top-100) + SMOTE",Random Forest,100,,1.1879784203733363,0.953090909090909,0.46077735324765534,0.6810974222834771,0.7727272727272727,0.4777123633305299
PCA (n_components=50) + SMOTE,Random Forest,10,10.0,1.2783566340767407,1.0138449925606823,0.37561123574962985,0.5838554105097369,0.7545454545454545,0.4462616822429907
PCA (n_components=50) + SMOTE,Random Forest,10,20.0,1.249181550237813,0.9318181818181818,0.4037860368183397,0.6117325025122853,0.7454545454545455,0.49706916764361075
PCA (n_components=50) + SMOTE,Random Forest,10,30.0,1.3054431501148636,1.02,0.34887113581104556,0.5745596696587604,0.7363636363636363,0.418013856812933
PCA (n_components=50) + SMOTE,Random Forest,10,,1.240857474783979,0.9899999999999999,0.4117054532823896,0.5949969621786172,0.8090909090909091,0.4649050371593725
PCA (n_components=50) + SMOTE,Random Forest,20,10.0,1.2615713807645585,0.9705085693007873,0.39190045722799094,0.6324772732956933,0.7909090909090909,0.4560838033843674
PCA (n_components=50) + SMOTE,Random Forest,20,20.0,1.2780845042484474,1.018181818181818,0.37587704063911087,0.605297890204077,0.7545454545454545,0.3768947152806227
PCA (n_components=50) + SMOTE,Random Forest,20,30.0,1.2546549688695656,0.9831818181818183,0.39854984369572777,0.6212498602243977,0.7727272727272727,0.4161566707466341
PCA (n_components=50) + SMOTE,Random Forest,20,,1.2609520212918492,0.972727272727273,0.39249739492879465,0.6245444044728287,0.7636363636363637,0.47017815646785444
PCA (n_components=50) + SMOTE,Random Forest,50,10.0,1.2493501274248153,0.9841383246735644,0.4036251076811246,0.6151764170912927,0.7727272727272727,0.4900122299225438
PCA (n_components=50) + SMOTE,Random Forest,50,20.0,1.28582622889296,1.018,0.36829315734630075,0.5907312700523984,0.7818181818181819,0.41101356743814843
