feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
-8550.265139486786,-1052.3804716279853,-1492.4020072730284,1464.1562882715086,942.4836015518732,1886.3401603757186,4.0
404.45860305597176,-2337.1985886060197,2023.0129032266118,3315.60998567287,5280.0401602097945,1740.6205617856035,3.0
-12286.827481281853,-390.3080041884865,-3681.1081977653134,-1542.0023915376205,758.7710878424652,323.82632329223617,5.0
35739.325601208504,-7321.52557952732,-6568.379720425228,-2461.974040496353,323.5632142297862,-4245.706834975914,4.0
-5346.429341551267,-1525.6133051807926,-298.4219121849733,-1197.2672866518171,384.1530683159923,1801.9541683027417,5.0
-13237.113929741166,-417.4600372169807,-1219.83132793846,5029.412556739145,-1146.6786958940565,-656.240908220943,4.0
-3890.5347821310606,-1860.4997803992824,897.6953334310234,-3737.6518742116623,2312.755966723957,-6294.700926981212,5.0
-7070.70044869806,-1328.731515252059,906.9762763853483,-3897.7767548122965,773.9802147803596,-3700.7310227099015,5.0
-4401.256523081411,-1953.2914372508453,12336.532082207312,-5438.327419201405,-2104.3983869028057,3278.736884480414,4.0
-1393.2639041230714,-2023.4890266692055,-1591.2282528626897,550.4096618036682,-807.4588559058652,912.0997497727245,3.0
-2331.764060256269,-1828.6545527470607,-2398.1145074914634,689.3337420668424,813.1308387324087,1219.9553540883264,3.0
-738.3385897159845,-2129.3449419934027,-1174.8230626693387,2559.4451508963384,-1409.0597209330858,1173.4455095877067,5.0
-5908.368153812883,-1308.425067303301,-3617.5400384122086,1138.6036663096415,889.5038063689176,3708.6539619489135,2.0
-2655.4576578712904,-1679.2301330935506,-4278.852504947997,-245.7320889146488,-744.4150210951734,486.9850956476002,5.0
-4624.199065181964,-1323.31865307497,-5425.398176776012,445.3772636295975,-251.91795343496912,1065.9803138947082,2.0
18226.2291433944,-4609.427590721143,-1884.9493858490237,-1521.1801494369515,-3131.9918411009066,8052.808878078784,5.0
-7161.996828174342,-1594.5548248466484,8973.970339225825,-1751.264437172388,-1578.6962003935337,1747.6291942985583,3.0
-1460.0477835073511,-1981.8358280305135,-2765.962987041963,1876.385975367738,610.7981977590716,1355.072238487061,2.0
-18832.552162476506,617.6490176304645,-4280.544310471105,-1045.6279148888966,100.20241591338062,-288.98747454078057,0.0
12004.403545584397,-4077.629578825937,112.24851714613483,4804.127714512009,-2559.163798832087,-736.6009032672873,5.0
-17153.418442991846,277.49128959229984,-2372.3957881245697,4823.193719817081,-1314.9023529708554,-1368.2610666711457,0.0
-12668.18825437172,-462.7668513354415,-463.4065596504005,-1724.5061285677098,1399.933078441096,268.8659133587583,2.0
8572.959270150297,-3380.345265283696,-1872.7181434472056,-642.9764746200278,-813.5241954191356,1294.657011350741,5.0
13354.867724887818,-4001.727071469772,-4257.986296358823,-2835.853985603841,-266.09733218466675,-2864.8915014608365,5.0
-8871.743730253882,-1061.7176340706676,-149.42825565851618,-2232.1855916851896,-736.9777919338972,-1935.9963824834135,3.0
-4031.34164705005,-1621.3902878218314,-121.1095076516218,-2780.156752064793,-1619.3089841448937,2791.952056143745,5.0
3719.475651016078,-2879.6345563563627,0.19431265971615427,921.2274019653735,-716.5277344233679,-962.757824199101,4.0
-8890.998358200994,-1086.6947082170389,419.3818151349712,6946.5729756420105,-2957.4711207475902,-1166.8840569593117,2.0
-3559.001894293843,-2029.796264008136,2329.5010721436724,-259.0122286481322,7899.660131233148,-3165.8508885333163,3.0
-5220.3995143699385,-1362.9094640895273,-1927.299782938762,-2961.6053546533985,-1155.4780290219164,598.1838910903323,4.0
-980.0094094684626,-2239.44343315974,297.43535999132826,2147.7523437730133,6137.848822330215,2243.8639866219255,3.0
-2983.9504543215403,-2685.6335230148284,19585.738943904773,-4008.75103740863,-3809.6941839211026,1534.9145378553244,3.0
-6656.5756514789355,-1580.3346942423836,3079.5119723612847,-4795.623232198124,-1050.0447122364867,-4620.209572342655,5.0
22496.236876239615,-5939.823075056661,16751.462179234728,-2509.7730039669054,11455.106154512594,3063.9207274880355,5.0
-12538.643578453273,-468.77709327582994,-432.65714362772803,-466.95525191714654,1016.1820042535071,1855.264263162953,1.0
-8522.23519433782,-900.7722208527738,-3687.320375669932,-1341.8563101942239,476.3050121564577,1259.1454251883456,5.0
17577.10102096467,-5342.517453941669,22119.955819640112,6030.0719574481445,-6645.412495489389,6363.915698860425,2.0
17198.95962327193,-4624.906262421571,1382.5349757303568,-1336.6168243913469,2502.720229084767,1326.7405278495366,3.0
-19355.252615347945,599.4145426460576,-2971.5648450722992,1175.933087280846,-347.7891787381803,-865.7493144643688,0.0
1308.5736778492258,-2437.084847147574,777.8159593209876,888.5130461185403,1036.7132621387643,3517.1392844446705,1.0
4699.967187334998,-2799.3077320149173,648.4811396497624,-3217.78416069211,-2316.138769259606,3067.874543937182,5.0
